"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"572","Rashtriya Chemicals And Fertilizers Limited","RCF","P&F | F.A","-2.22%","125.52","20,06,799"
"980","Mep Infrastructure Developers Limited","MEP","P&F | F.A","-2.22%","1.32","88,943"
"194","Kirloskar Oil Engines Limited","KIRLOSENG","P&F | F.A","-2.23%","719.75","2,91,210"
"65","Gravita India Limited","GRAVITA","P&F | F.A","-2.24%","1831.95","3,54,380"
"234","Jbm Auto Limited","JBMA","P&F | F.A","-2.24%","591.8","5,23,427"
"427","Sanghvi Movers Limited","SANGHVIMOV","P&F | F.A","-2.24%","244.11","7,43,550"
"389","Vip Industries Limited","VIPIND","P&F | F.A","-2.25%","279.7","12,27,719"
"458","Rallis India Limited","RALLIS","P&F | F.A","-2.25%","214.28","3,60,209"
"12","Persistent Systems Limited","PERSISTENT","P&F | F.A","-2.26%","5513.75","3,17,428"
"232","Happiest Minds Technologies Ltd","HAPPSTMNDS","P&F | F.A","-2.28%","596.7","9,71,680"
"648","Southern Petrochemicals Industries Corporation  Limited","SPIC","P&F | F.A","-2.28%","81.06","4,00,676"
"692","Bigbloc Construction Limited","BIGBLOC","P&F | F.A","-2.29%","62.29","3,38,766"
"81","Hcl Technologies Limited","HCLTECH","P&F | F.A","-2.31%","1592.5","22,11,077"
"971","Integra Essentia Ltd","ESSENTIA","P&F | F.A","-2.31%","2.11","80,64,652"
"176","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","-2.32%","796.25","17,64,410"
"217","Sun Tv Network Limited","SUNTV","P&F | F.A","-2.33%","649.95","1,86,455"
"591","Inox Green Energy Services Ltd","INOXGREEN","P&F | F.A","-2.33%","118.95","15,31,225"
"525","New India Assurance Company Ltd","NIACL","P&F | F.A","-2.34%","154.52","10,33,619"
"706","Dhani Services Ltd","DHANI","P&F | F.A","-2.35%","56.84","22,80,755"
"592","Everest Kanto Cylinder Limited","EKC","P&F | F.A","-2.37%","118.48","5,45,934"
"495","Laxmi Organic Industries Ltd","LXCHEM","P&F | F.A","-2.38%","175.25","7,34,990"
"504","Camlin Fine Sciences Limited","CAMLINFINE","P&F | F.A","-2.39%","167.75","5,17,644"
"100","Raymond Limited","RAYMOND","P&F | F.A","-2.4%","1402.95","3,49,116"
"172","Chalet Hotels Ltd","CHALET","P&F | F.A","-2.4%","819.45","1,41,241"
"654","Radhika Jeweltech Ltd","RADHIKAJWE","P&F | F.A","-2.41%","78.91","5,16,188"
"353","Capacite Infraprojects Ltd","CAPACITE","P&F | F.A","-2.42%","350.5","3,85,337"
"619","NTPC Green Energy Ltd","NTPCGREEN","P&F | F.A","-2.42%","100.61","89,17,681"
"744","Punjab & Sind Bank","PSB","P&F | F.A","-2.42%","43.58","14,94,856"
"349","Orient Technologies Ltd","ORIENTTECH","P&F | F.A","-2.43%","354.75","2,55,600"
"510","Ugro Capital Ltd","UGROCAP","P&F | F.A","-2.43%","164.87","4,54,572"
"566","Bombay Dyeing & Mfg Company Limited","BOMDYEING","P&F | F.A","-2.44%","129.72","12,13,961"
"1","Dixon Technologies","DIXON","P&F | F.A","-2.45%","13179.5","4,30,635"
"387","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-2.45%","283","23,13,383"
"472","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-2.45%","192.73","72,48,212"
"623","Electrosteel Castings Limited","ELECTCAST","P&F | F.A","-2.45%","98.24","20,72,941"
"740","Onmobile Global Limited","ONMOBILE","P&F | F.A","-2.45%","44.51","7,90,726"
"41","Mahindra & Mahindra Limited","M&M","P&F | F.A","-2.46%","2665.8","60,74,446"
"196","Ventive Hospitality Ltd","VENTIVE","P&F | F.A","-2.46%","712.45","2,20,069"
"393","Jk Tyre & Industries Limited","JKTYRE","P&F | F.A","-2.46%","277.45","4,35,762"
"284","Tanla Solutions Limited","TANLA","P&F | F.A","-2.47%","467.25","9,63,280"
"396","Senco Gold Ltd","SENCO","P&F | F.A","-2.47%","272.35","8,91,401"
"490","Gujarat State Fertilizers & Chemicals Limited","GSFC","P&F | F.A","-2.47%","177.28","18,57,395"
"531","D B Realty Limited","DBREALTY","P&F | F.A","-2.47%","150.63","33,17,904"
"784","Orient Ceratech Ltd","ORIENTCER","P&F | F.A","-2.47%","30.42","1,61,553"
"814","Osia Hyper Retail Ltd","OSIAHYPER","P&F | F.A","-2.48%","24.82","11,26,141"
"543","Moschip Technologies Ltd","MOSCHIP","P&F | F.A","-2.52%","146.05","12,54,522"
"787","Dhanlaxmi Bank Limited","DHANBANK","P&F | F.A","-2.52%","29.75","16,80,382"
"643","Delta Corp Limited","DELTACORP","P&F | F.A","-2.53%","83.22","23,65,747"
"810","Hindustan Construction Company Limited","HCC","P&F | F.A","-2.53%","25.85","2,73,29,618"
"57","Blue Star Limited","BLUESTARCO","P&F | F.A","-2.54%","2136.4","10,27,627"
"371","Arvind Limited","ARVIND","P&F | F.A","-2.54%","315.15","2,93,930"
